user_id,num_clicks,num_sessions,avg_session_duration,avg_bags,age,birthdate,gender,married,has_children,home_country,num_trips,num_flights,money_spent_hotel,time_after_booking,avg_km_flown,perk,avg_nights_per_trip,group_k_means,cluster_name,value_score,booking_segment,group_dbscan
94883,73,8,67.75,0.5,53.0,1972-03-16,1,1,0,0,2,4,130.0,6.5,1451.335403701944,10% off next trip,0.5,6,Frequent Flyers,8.5053857846451,General,-1
152583,149,8,139.0,2.0,38.0,1986-07-26,1,0,0,0,1,2,426.0,8.0,2265.716295635522,10% off next trip,2.0,6,Frequent Flyers,6.7578881983789945,General,-1
164522,89,8,83.375,1.0,49.0,1975-11-07,1,1,0,0,1,2,3029.0,8.0,1807.646503324766,10% off next trip,13.0,6,Frequent Flyers,9.21887414634739,Luxury Traveler,-1
226367,114,8,105.5,0.6666666666666666,44.0,1980-10-21,1,0,0,0,3,6,1864.0,7.0,1633.1960227085976,10% off next trip,1.6666666666666667,6,Frequent Flyers,15.569057513575899,General,-1
228872,126,8,118.0,1.0,36.0,1989-03-22,0,0,0,0,2,2,1288.0,5.0,2953.6730397354886,10% off next trip,6.5,6,Frequent Flyers,11.261095539462152,General,-1
281952,158,8,146.375,1.5,38.0,1987-01-23,1,0,0,0,2,4,236.3,7.0,1966.8305718481147,10% off next trip,1.0,6,Frequent Flyers,10.415163768541467,General,-1
283325,114,8,105.625,0.0,52.0,1973-05-15,1,1,0,0,2,2,2884.0,5.0,2838.442946557796,10% off next trip,3.0,6,Frequent Flyers,13.271478788152793,General,-1
312488,76,8,71.0,1.0,32.0,1993-06-27,0,1,0,0,1,2,0.0,6.0,2171.5337603216926,10% off next trip,-1.0,6,Frequent Flyers,4.637001206797634,General,-1
322867,82,8,77.0,1.0,47.0,1977-12-07,1,0,0,0,1,2,1323.0,6.0,919.997617427402,10% off next trip,7.0,6,Frequent Flyers,6.647742656003492,General,-1
324191,86,8,80.125,0.5,41.0,1984-05-27,1,0,0,0,2,4,1610.0,9.5,176.27134554289609,10% off next trip,4.0,6,Frequent Flyers,10.88337453837996,General,-1
334787,119,8,110.875,0.6666666666666666,54.0,1971-04-27,1,0,0,0,3,6,864.0,5.0,1377.9597756222813,10% off next trip,1.6666666666666667,6,Frequent Flyers,14.256844241167451,General,-1
354260,116,8,107.875,1.0,50.0,1974-09-27,1,0,0,0,2,4,520.0,10.5,3215.735057728185,10% off next trip,2.0,6,Frequent Flyers,9.953205749615673,Planner,-1
354311,98,8,92.0,0.5,46.0,1978-07-12,1,1,0,0,2,4,291.0,7.0,3238.7131415521753,10% off next trip,3.0,6,Frequent Flyers,9.262352929661603,General,-1
354950,100,8,94.125,1.0,54.0,1970-10-19,0,1,0,0,1,2,762.0,4.0,2618.462362173801,10% off next trip,6.0,6,Frequent Flyers,6.226470454066264,General,-1
359080,126,8,119.0,1.0,43.0,1982-05-09,1,1,0,0,4,8,1383.0,76.25,4684.897493471022,10% off next trip,2.0,6,Frequent Flyers,18.90575562723474,Planner,-1
372970,100,8,94.625,0.5,35.0,1990-04-01,1,0,0,0,2,4,408.0,6.0,4048.0877645008654,10% off next trip,0.0,6,Frequent Flyers,9.477554855212283,General,-1
375729,142,8,131.125,0.3333333333333333,54.0,1971-04-12,1,0,0,0,3,6,1667.0,6.0,1877.015464621399,10% off next trip,2.0,6,Frequent Flyers,15.86544132916842,General,-1
375751,192,8,176.75,0.3333333333333333,51.0,1974-02-09,1,1,0,0,3,6,999.0,8.0,1321.671711181997,10% off next trip,2.5,6,Frequent Flyers,15.943523395773227,General,-1
376159,102,8,95.5,1.0,43.0,1982-01-24,1,0,0,0,2,2,708.0,9.0,2175.006152558628,10% off next trip,2.5,6,Frequent Flyers,9.936507083517206,General,-1
379543,104,8,95.625,0.3333333333333333,57.0,1968-01-06,1,1,0,0,3,6,1535.0,6.0,2196.6602684170643,10% off next trip,2.0,6,Frequent Flyers,14.888141595355997,General,-1
380436,107,8,99.375,1.0,45.0,1979-11-04,1,0,0,0,1,2,594.0,9.0,576.1819985601524,10% off next trip,4.0,6,Frequent Flyers,6.1206315587982525,General,-1
380874,117,8,109.0,0.6666666666666666,55.0,1970-02-17,1,1,0,0,3,6,405.6,7.333333333333333,1430.339629729443,10% off next trip,1.3333333333333333,6,Frequent Flyers,13.563027756348395,General,-1
381465,245,8,418.68018,0.0,34.0,1990-07-19,1,0,0,0,3,2,2976.0,6.0,1712.0270202241186,10% off next trip,7.2,6,Frequent Flyers,21.68470545390545,Luxury Traveler,-1
389662,146,8,135.75,1.0,39.0,1985-08-09,1,0,0,0,3,4,815.0,8.5,1877.971150934258,10% off next trip,1.0,6,Frequent Flyers,14.744772456101257,General,-1
390811,132,8,122.375,0.6666666666666666,41.0,1983-07-26,1,0,0,0,3,6,1278.0,7.0,2120.3722912217963,10% off next trip,3.0,6,Frequent Flyers,15.109841816337056,General,-1
392453,78,8,72.375,1.0,59.0,1966-06-11,1,0,0,0,1,2,1166.0,7.0,2501.8639303522496,10% off next trip,10.0,6,Frequent Flyers,6.332827834114409,General,-1
400582,125,8,116.375,0.0,33.0,1991-12-21,1,1,0,0,4,6,2549.0,6.666666666666667,1211.3015547344212,10% off next trip,2.25,6,Frequent Flyers,20.52788351872149,General,-1
401245,120,8,111.875,0.0,29.0,1996-01-15,1,0,0,0,3,6,722.0,7.0,1798.81943592929,10% off next trip,3.0,6,Frequent Flyers,14.07621054207906,General,-1
402332,137,8,127.125,0.0,33.0,1992-01-10,1,0,0,0,2,4,103.55,13.5,2140.334453280422,10% off next trip,0.5,6,Frequent Flyers,9.79348973169008,Planner,-1
402978,115,8,107.0,0.75,52.0,1972-08-02,1,1,0,0,4,8,1831.0,5.25,1919.723473028128,10% off next trip,3.0,6,Frequent Flyers,19.29825474761048,General,-1
403881,133,8,122.375,0.75,45.0,1980-04-03,1,0,0,0,4,7,1792.0,7.5,3121.1765693300104,10% off next trip,2.5,6,Frequent Flyers,19.60305482324431,General,-1
407118,112,8,171.5,0.75,53.0,1971-12-26,1,1,0,0,2,3,1896.0,7.0,1238.274063189229,10% off next trip,11.5,6,Frequent Flyers,12.467520334652793,Luxury Traveler,-1
407250,143,8,133.0,0.25,37.0,1987-07-25,1,0,0,0,4,8,1025.0,5.5,2888.768645591912,10% off next trip,3.0,6,Frequent Flyers,18.73172738515521,General,-1
409073,178,8,165.0,1.0,43.0,1981-09-06,1,1,0,0,3,6,803.0,6.333333333333333,3089.749565498349,10% off next trip,1.3333333333333333,6,Frequent Flyers,15.386412784283635,General,-1
413418,98,8,91.0,1.5,55.0,1969-09-04,1,0,0,0,3,4,210.0,9.5,1066.041766957145,10% off next trip,3.0,6,Frequent Flyers,12.887611743503872,General,-1
415381,108,8,100.875,1.0,47.0,1978-03-13,1,1,0,0,3,5,704.0,5.666666666666667,955.7348576576843,10% off next trip,2.0,6,Frequent Flyers,13.80328614504169,General,-1
415581,113,8,105.375,0.6666666666666666,43.0,1981-12-11,1,1,0,0,3,6,2036.0,8.666666666666666,1871.7547939316285,10% off next trip,5.666666666666667,6,Frequent Flyers,15.800683671730365,Luxury Traveler,-1
416319,220,8,204.625,0.5,56.0,1969-01-02,1,1,0,0,2,4,219.0,7.5,531.7313302967707,10% off next trip,0.0,6,Frequent Flyers,11.681793490165868,General,-1
424553,216,8,201.125,1.0,50.0,1975-01-14,1,1,0,0,3,2,1798.0,11.0,2216.753676558997,10% off next trip,5.333333333333333,6,Frequent Flyers,17.597505595113706,Luxury Traveler,-1
425632,90,8,83.125,0.5,46.0,1978-10-14,1,1,0,0,3,4,2280.0,5.5,2571.655860677649,10% off next trip,5.0,6,Frequent Flyers,15.662743643725237,Luxury Traveler,-1
425953,181,8,167.75,0.0,39.0,1986-04-24,1,1,0,0,4,8,1162.85,8.0,793.3472217305417,10% off next trip,1.75,6,Frequent Flyers,19.710228289888573,General,-1
425966,94,8,86.5,0.5,57.0,1968-02-05,1,1,0,0,2,4,372.0,8.0,3794.310211904416,10% off next trip,1.5,6,Frequent Flyers,9.277750336762217,General,-1
427426,121,8,113.375,0.3333333333333333,37.0,1987-09-04,1,0,0,0,3,6,134.0,12.666666666666666,1473.521274001674,10% off next trip,1.0,6,Frequent Flyers,13.265765604953362,Planner,-1
428552,102,8,95.875,0.0,38.0,1987-03-04,1,1,0,0,2,4,610.0,6.5,2173.7360023761407,10% off next trip,0.5,6,Frequent Flyers,9.80063581441158,General,-1
431337,125,8,114.875,1.0,39.0,1986-04-12,1,0,0,0,3,6,1459.0,8.0,2405.373852362943,10% off next trip,2.0,6,Frequent Flyers,15.212810581343044,General,-1
431746,75,8,69.875,2.0,41.0,1983-08-10,1,0,0,0,1,2,207.1,6.0,1555.884079411734,10% off next trip,1.0,6,Frequent Flyers,4.90907078432898,General,-1
433080,158,8,147.0,0.75,45.0,1980-02-18,1,1,0,0,4,8,1612.6,7.25,1697.9338875672224,10% off next trip,2.75,6,Frequent Flyers,19.87926914548086,General,-1
435596,176,8,164.0,0.5,54.0,1970-11-28,1,0,0,0,2,4,892.0,7.0,2255.5025991626508,10% off next trip,2.0,6,Frequent Flyers,11.72973445106818,General,-1
436894,72,8,67.75,0.5,43.0,1982-04-26,1,1,0,0,2,3,931.0,8.0,1169.8972900278363,10% off next trip,4.0,6,Frequent Flyers,9.633126750847332,General,-1
437549,131,8,122.125,1.0,41.0,1984-05-13,1,0,0,0,3,6,898.0,8.333333333333334,2027.377382123327,10% off next trip,2.6666666666666665,6,Frequent Flyers,14.554907125325457,General,-1
438406,120,8,111.375,0.5,44.0,1980-10-11,1,0,0,0,4,8,688.0,6.5,3635.8070387655944,10% off next trip,1.3333333333333333,6,Frequent Flyers,17.773088010464235,General,-1
438937,96,8,90.375,0.5,38.0,1986-08-28,1,0,0,0,2,3,928.0,7.0,2527.744713026813,10% off next trip,2.0,6,Frequent Flyers,10.129422246468412,General,-1
438985,186,8,254.373741,0.25,31.0,1994-03-18,1,0,0,0,2,4,584.1,5.5,3743.581612832182,10% off next trip,5.5,6,Frequent Flyers,12.26890772665438,General,-1
439120,160,8,149.125,0.5,39.0,1985-07-23,0,1,0,0,2,4,83.7,8.5,2091.8437933810455,10% off next trip,0.0,6,Frequent Flyers,10.247971574203651,General,-1
